SampleID	Site
Sample42	Abla
Sample43	Abla
Sample44	Abla
Sample45	Abla
Sample46	Abla
Sample47	Abla
Sample48	Abla
Sample49	Abla
Sample50	Abla
Sample51	Abla
Sample117	Ronda
Sample118	Ronda
Sample119	Ronda
Sample120	Ronda
Sample121	Ronda
Sample122	Ronda
Sample123	Ronda
Sample124	Ronda
Sample125	Ronda
Sample126	Ronda
Sample137	Somiedo
Sample138	Somiedo
Sample139	Somiedo
Sample140	Somiedo
Sample141	Somiedo
Sample142	Somiedo
Sample143	Somiedo
Sample144	Somiedo
Sample145	Somiedo
Sample146	Somiedo
MockZymo106	Control
